Pma,Pos#,Description
101,2041001,2X4X10 #2&BTR KD SPF
101,2041201,2X4X12 #2&BTR KD SPF
101,2041401,2X4X14 #2&BTR KD SPF
101,2041601,2X4X16 #2&BTR KD SPF
101,2042001,2X4X20 #2&BTR KD SPF
101,2060801,2X6X8 #2&BTR KD SPF
101,2061001,2X6X10 #2&BTR KD SPF
101,2061201,2X6X12 #2&BTR KD SPF
101,2061401,2X6X14 #2&BTR KD SPF
101,2061601,2X6X16 #2&BTR KD SPF
101,2061801,2X6X18 #2&BTR KD SPF
101,2062001,2X6X20 #2&BTR KD SPF
101,2062401,2X6X24 KD SPF/HF #2
101,2082602,2X8X26 FJ KD SPF/HF #2
101,2082802,2X8X28 FJ KD SPF/HF #2
101,2083202,2X8X32 FJ KD SPF/HF #2
101,2102802,2X10X28 FJ KD SPF/HF #2
101,2103202,2X10X32 FJ KD SPF/HF #2
,,
102,2040005,2X4 KD SYP #3
102,2040804,2X4X8 KD SYP #2
102,2041004,2X4X10 KD SYP #2
102,2041204,2X4X12 KD SYP #2
102,2041404,2X4X14 KD SYP #2
102,2041405,2X4X14 KD SYP #3
102,2041604,2X4X16 KD SYP #2
102,2060804,2X6X8 KD SYP #2
102,2061004,2X6X10 KD SYP #2
102,2061204,2X6X12 KD SYP #2
102,2061404,2X6X14 KD SYP #2
102,2061604,2X6X16 KD SYP #2
102,2061804,2X6X18 KD SYP #2
102,2062004,2X6X20 KD SYP #2
102,2062204,2X6X22 KD SYP #2
102,2062404,2X6X24  KD SYP #2
102,2080804,2X8X8 KD SYP #2
102,2081004,2X8X10 KD SYP #2
102,2081204,2X8X12 KD SYP #2
102,2081404,2X8X14 KD SYP #2
102,2081604,2X8X16 KD SYP #2
102,2081804,2X8X18 KD SYP #2
102,2082004,2X8X20 KD SYP #2
102,2082204,2X8X22  KD SYP #2
102,2082404,2X8X24  KD SYP #2
102,2100804,2X10X8 KD SYP #2
102,2101004,2X10X10 KD SYP #2
102,2101204,2X10X12 KD SYP #2
102,2101404,2X10X14 KD SYP #2
102,2101604,2X10X16 KD SYP #2
102,2101804,2X10X18 KD SYP #2
102,2102004,2X10X20 KD SYP #2
102,2102204,2X10X22 KD SYP #2
102,2102404,2X10X24 KD SYP #2
102,2120804,2X12X8 KD SYP #2
102,2121004,2X12X10 KD SYP #2
102,2121204,2X12X12 KD SYP #2
102,2121404,2X12X14 KD SYP #2
102,2121604,2X12X16 KD SYP #2
102,2121804,2X12X18 KD SYP #2
102,2122004,2X12X20 KD SYP #2
102,2122204,2X12X22 KD SYP #2
102,2122404,2X12X24 KD SYP #2
,,
106,2041426,2X4X14 LENNAR #3KD SYP/SPF
106,2061530,2X6X14 LENNAR SPF #2
,,
201,2040801,2X4X8 #2&BTR KD SPF
201,2049201,2X4X92-5/8 KD SPF STUD
201,2069201,2X6X92-5/8 KD SPF STUD
201,2410401,2X4X104-5/8 KD SPF STUD
201,2411601,2X4X116-5/8 KD SPF STUD
201,2610401,2X6X104-5/8 KD SPF STUD
201,2611601,2X6X116-5/8 KD SPF STUD
,,
206,2049217,2X4X92-5/8 LENNAR SPF STUD
206,2410417,2X4X104-5/8LENNAR SPF STUD
206,2610417,2X6X104-5/8LENNAR SPF STUD
,,
300,1041206,1X4X12 SYP TREATED #2
300,1041606,1X4X16 SYP TREATED #2
300,1060806,1X6X8 SYP TREATED #2
300,1060809,1X6X8  SYP TREATED #3
300,1061206,1X6X12 SYP TREATED #2
300,1081206,1X8X12 SYP TREATED #2
300,2020807,2X2X8 SYP TREATED #1
300,2040806,2X4X8 SYP TREATED #2
300,2040807,2X4X8 SYP TREATED #1
300,2040870,2X4X8 #2 PRIME TRT SYP
300,2041006,2X4X10 SYP TREATED #2
300,2041007,2X4X10 SYP TREATED #1
300,2041070,2X4X10 #2 PRIME TRT SYP
300,2041206,2X4X12 SYP TREATED #2
300,2041207,2X4X12 SYP TREATED #1
300,2041270,2X4X12 #2 PRIME TRT SYP
300,2041407,2X4X14 SYP TREATED #1
300,2041437,2X4X14 SYP #3 BORATES INT
300,2041606,2X4X16 SYP TREATED #2
300,2041607,2X4X16 SYP TREATED #1
300,2041627,2X4X16 SYP #2 BORATES INT
300,2041670,2X4X16 #2 PRIME TRT SYP
300,2060807,2X6X8 SYP TREATED #1
300,2060870,2X6X8 #2 PRIME TRT SYP
300,2061006,2X6X10 SYP TREATED #2
300,2061007,2X6X10 SYP TREATED #1
300,2061070,2X6X10 #2 PRIME TRT SYP
300,2061206,2X6X12 SYP TREATED #2
